src,tgt,dist,src_lab,tgt_lab,isnbr,src_lab_,tgt_lab_,wts
46,668,53.090146451313885,36003,36121,FALSE,36003,36121,1
47,843,32.51737192392526,18117,18093,FALSE,18093,18117,1
47,664,53.66597816682943,18117,18027,FALSE,18027,18117,1
48,552,22.454861491467515,13089,13121,FALSE,13089,13121,1
48,489,22.71548109413378,13089,13247,FALSE,13089,13247,1
49,732,23.66280332865021,13227,13057,FALSE,13057,13227,1
49,347,29.117663102905336,13227,13085,FALSE,13085,13227,1
50,797,29.853830928266767,37069,37127,FALSE,37069,37127,1
50,65,53.82801542732223,37069,37063,FALSE,37063,37069,1
51,277,34.55970302435845,24510,24003,FALSE,24003,24510,1
51,541,37.53770841911273,24510,24025,FALSE,24025,24510,1
52,599,57.859272822911,48245,48199,FALSE,48199,48245,1
52,11,86.86584514675602,48245,22019,FALSE,22019,48245,1
53,441,45.341213353594085,48027,48491,FALSE,48027,48491,1
53,74,62.31258541909422,48027,48309,FALSE,48027,48309,1
54,707,50.596731108435684,36075,36067,FALSE,36067,36075,1
54,204,58.41222166046711,36075,36011,FALSE,36011,36075,1
55,140,48.49511023757013,36111,36027,FALSE,36027,36111,1
55,473,48.95522459763593,36111,36105,FALSE,36105,36111,1
56,342,59.13944340587987,48215,48489,FALSE,48215,48489,1
56,850,77.24303422545199,48215,48061,FALSE,48061,48215,1
57,286,27.025792272273822,12095,12117,FALSE,12095,12117,1
57,236,47.034132183001084,12095,12069,FALSE,12069,12095,1
58,222,26.967486617448763,13045,13143,FALSE,13045,13143,1
58,398,31.871600869590388,13045,13097,FALSE,13045,13097,1
59,274,28.82549949675039,18173,18163,FALSE,18163,18173,1
59,331,43.816820335162184,18173,21059,FALSE,18173,21059,1
60,589,62.46709346839246,21001,21199,FALSE,21001,21199,1
60,280,89.93720174259222,21001,47111,FALSE,21001,47111,1
61,643,40.79983950003655,23023,23005,FALSE,23005,23023,1
61,449,55.96706775572708,23023,23011,FALSE,23011,23023,1
62,458,26.235492762706286,01033,01077,FALSE,01033,01077,1
62,249,63.24136172972677,01033,01093,FALSE,01033,01093,1
63,327,28.21765265676877,21017,21067,FALSE,21017,21067,1
63,220,53.38455329217707,21017,21151,FALSE,21017,21151,1
64,573,35.87993555301829,47149,47189,FALSE,47149,47189,1
64,83,36.84920039371537,47149,47003,FALSE,47003,47149,1
65,404,21.9813676467645,37063,37135,FALSE,37063,37135,1
66,486,54.145313232854214,19121,19153,FALSE,19121,19153,1
66,209,130.34428627591615,19121,19157,FALSE,19121,19157,1
67,75,50.73782575669176,12011,12099,TRUE,12011,12099,1
67,90,64.27508734733617,12011,12086,TRUE,12011,12086,1
68,406,63.357880882236564,13279,13031,FALSE,13031,13279,1
68,674,63.84575773415624,13279,13175,FALSE,13175,13279,1
69,328,57.899087123135935,26151,26147,FALSE,26147,26151,1
69,298,61.83684749832283,26151,26087,FALSE,26087,26151,1
70,720,42.971988930943006,26163,26125,FALSE,26125,26163,1
70,364,47.98167340920942,26163,26161,FALSE,26161,26163,1
71,727,49.15859915428376,28151,28133,FALSE,28133,28151,1
71,199,58.75131275527684,28151,28011,FALSE,28011,28151,1
72,722,90.4944574627698,51540,51147,FALSE,51147,51540,1
72,479,91.34466177850972,51540,51171,FALSE,51171,51540,1
73,661,50.153825998026804,16053,16083,FALSE,16053,16083,1
73,454,69.18650877869943,16053,16031,FALSE,16031,16053,1
74,621,57.603811863908284,48309,48293,FALSE,48293,48309,1
75,346,48.56719856001672,12099,12085,FALSE,12085,12099,1
76,671,31.824022427215667,47165,21213,FALSE,21213,47165,1
76,573,38.9033015059896,47165,47189,FALSE,47165,47189,1
77,865,52.97330341672777,41051,41067,FALSE,41051,41067,1
78,213,103.6675487474698,36089,36043,FALSE,36043,36089,1
78,252,112.2474225204216,36089,36019,FALSE,36019,36089,1
79,386,54.84773137542738,06067,06113,FALSE,06067,06113,1
79,284,55.745258686109544,06067,06095,FALSE,06067,06095,1
80,95,85.33007863154063,06083,06111,TRUE,06083,06111,1
80,862,101.80628154233223,06083,06079,FALSE,06079,06083,1
81,30,37.39683574996196,37151,37057,FALSE,37057,37151,1
81,450,41.07806077175396,37151,37081,FALSE,37081,37151,1
82,853,57.11423489449645,25001,25023,FALSE,25001,25023,1
82,834,98.72423716135322,25001,25021,FALSE,25001,25021,1
83,679,28.29839632645471,47003,47117,FALSE,47003,47117,1
84,662,63.75315518987305,26159,26077,FALSE,26077,26159,1
84,435,73.89588664673923,26159,18141,FALSE,18141,26159,1
85,481,37.70011758012146,21177,21107,FALSE,21107,21177,1
85,399,40.00172338816847,21177,21031,FALSE,21031,21177,1
86,460,37.08712051218777,17049,17051,FALSE,17049,17051,1
86,564,38.490675242943304,17049,17079,FALSE,17049,17079,1
87,735,179.0945914989764,15003,15009,TRUE,15003,15009,1
88,319,36.44627915251389,18157,18023,FALSE,18023,18157,1
88,459,41.5489700339298,18157,18045,FALSE,18045,18157,1
89,123,42.99017192013912,42109,42099,FALSE,42099,42109,1
89,34,44.8729289698882,42109,42043,FALSE,42043,42109,1
90,383,52.13570517987239,12086,12087,FALSE,12086,12087,1
91,170,49.32759713353015,08097,08037,FALSE,08037,08097,1
91,128,80.53622433677161,08097,08117,FALSE,08097,08117,1
92,759,28.36710960354316,18057,18095,FALSE,18057,18095,1
92,765,31.616568635525734,18057,18097,FALSE,18057,18097,1
93,255,24.862381110742636,13145,13215,FALSE,13145,13215,1
93,106,43.61211728759512,13145,01081,FALSE,01081,13145,1
94,110,23.212283284947578,13297,13013,FALSE,13013,13297,1
94,654,27.74067188173371,13297,13219,FALSE,13219,13297,1
95,96,82.06554786874831,06111,06037,TRUE,06037,06111,1
96,701,73.15417654154213,06037,06059,FALSE,06037,06059,1
97,235,30.06238434820785,13129,13015,FALSE,13015,13129,1
97,49,35.640660629322994,13129,13227,FALSE,13129,13227,1
98,188,45.49297245873303,12055,12043,FALSE,12043,12055,1
98,549,76.39433465223658,12055,12105,FALSE,12055,12105,1
99,245,96.21233732358041,04021,04019,FALSE,04019,04021,1
99,232,115.6410887521641,04021,04013,FALSE,04013,04021,1
100,272,53.372797254175254,12017,12119,FALSE,12017,12119,1
101,475,40.21087354186345,40101,40145,FALSE,40101,40145,1
101,495,47.29898406788924,40101,40021,FALSE,40021,40101,1
102,287,23.508376876350663,28073,28035,FALSE,28035,28073,1
102,197,47.63521088460522,28073,28109,FALSE,28073,28109,1
103,660,33.78577157690463,18137,18079,FALSE,18079,18137,1
