src,tgt,dist,src_lab,tgt_lab
40,407,57.11423489449645,25001,25023
43,156,33.298036614355176,18057,18059
43,280,38.07345972147297,18057,18011
43,362,28.36710960354316,18057,18095
43,364,31.616568635525734,18057,18097
44,45,82.06554786874831,06111,06037
45,339,73.15417654154213,06037,06059
46,112,30.06238434820785,13129,13015
46,348,47.01187967492223,13129,13057
47,265,76.39433465223658,12055,12105
47,324,82.29662181888058,12055,12097
47,418,81.36004260999916,12055,12015
48,119,96.21233732358041,04021,04019
49,131,53.372797254175254,12017,12119
50,177,51.816883374024094,48157,48201
50,294,51.52201726869326,48157,48039
51,86,55.196424394241305,55127,55059
51,247,64.13636370185328,55127,55101
51,373,38.92767249251251,55127,17111
51,397,43.494467026221315,55127,55133
52,93,76.44989596993081,36103,09011
52,132,79.13868687682478,36103,36059
52,152,48.404751814088016,36103,09009
52,270,64.7701657553318,36103,09001
53,59,34.84190418612675,01081,01017
53,123,46.007831927850596,01081,13215
53,266,50.75172316715575,01081,01123
55,141,42.477459600587444,26037,26065
57,115,50.68426937109271,27109,27169
58,286,48.261774414949315,01097,28059
59,266,38.31273119243238,01017,01123
60,312,50.827094493007955,18047,39061
61,78,28.273000280062114,37159,37025
62,242,46.00843935958984,48203,22017
63,82,58.77110448963022,08059,08013
63,83,37.19671421967156,08059,08031
63,163,84.72829543889101,08059,08001
63,360,39.378913490685306,08059,08035
63,383,78.6074537877372,08059,08005
66,142,36.419971207578676,18005,18081
66,354,36.542916621959996,18005,18145
67,112,35.66987884636214,13223,13015
67,199,26.122587705131593,13223,13097
67,331,27.118187996207176,13223,13067
69,244,39.9188613333248,29037,29095
70,136,80.99630941411824,36027,25003
70,270,66.36006644591339,36027,09001
70,287,42.051275082768015,36027,09005
70,326,55.605070449149586,36027,36021
70,406,61.26341521713491,36027,36071
72,368,73.99595961089886,08101,08041
73,231,35.62298715127127,37051,37085
75,251,45.295211818330166,45015,45019
76,175,66.77800631409953,39155,39007
76,187,32.8575003727451,39155,39099
76,307,39.883221313368104,39155,39055
77,342,49.651725570358636,42019,42003
77,417,77.13635052689479,42019,42129
78,275,44.13813186020514,37025,37179
79,293,30.056587170359354,42101,42091
79,309,24.862154520564555,42101,42045
80,283,40.01177348404308,36001,36083
80,326,47.3986703605204,36001,36021
81,99,47.71726247157111,48029,48091
82,241,63.07015997833195,08013,08069
83,163,48.54680266115999,08031,08001
83,383,48.776763755468565,08031,08005
86,247,23.263270778948463,55059,55101
86,330,44.843350389327554,55059,17097
86,373,55.4786956530328,55059,17111
88,95,43.91064983527763,06075,06041
88,150,97.2969383006802,06075,06013
88,276,98.93305730937755,06075,06001
88,371,67.81173646588076,06075,06081
89,263,54.659162528390276,26139,26081
89,378,44.653096216623275,26139,26121
90,188,64.94780439301076,17031,17089
90,279,56.766802633249064,17031,17197
90,313,36.780712566796815,17031,17043
90,330,35.03599377116659,17031,17097
90,373,81.94809810214734,17031,17111
92,118,44.27852201865311,13137,13139
93,165,47.00294660830991,09011,09013
94,151,18.68802750445192,51760,51087
94,390,19.57822522245356,51760,51041
95,150,71.1877587866538,06041,06013
96,117,45.91620699091921,41047,41043
96,344,69.75622400761367,41047,41071
97,127,65.52711493863508,55079,55089
97,247,16.460475567047876,55079,55101
97,397,37.831934076057436,55079,55133
98,141,39.66934552942455,26075,26065
98,162,57.41408315125325,26075,26093
98,178,47.53007023332664,26075,26161
98,196,39.92038948814711,26075,26059
100,265,86.99957820353858,12081,12105
100,290,27.987558357888048,12081,12115
100,416,45.85537074884492,12081,12057
